Country,Employment,FormalEducation,DevType,YearsCodingProf,EducationTypes,Age,Salary,ConvertedSalary
India,Employed full-time,Medium,Mobile developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,900000.0,14089.0
India,Employed full-time,High,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,800000.0,12524.0
India,Employed full-time,Medium,Mobile developer,5,Taken a part-time in-person course in programming or software development,30,250000.0,3914.0
United Kingdom,Employed full-time,Medium,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,50000.0,69452.0
United Kingdom,Employed full-time,High,Front-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),40,1500.0,25008.0
Canada,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,120000.0,96626.0
Germany,Employed full-time,Medium,Mobile developer,7,Received on-the-job training in software development,40,60000.0,73433.0
United Kingdom,Employed full-time,Medium,Data scientist or machine learning specialist,5,Received on-the-job training in software development,21,29000.0,40282.0
India,Employed full-time,Medium,Front-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,800000.0,12524.0
United States,Employed full-time,Medium,Designer,1,Participated in a full-time developer training program or bootcamp,30,72500.0,2000000.0
Germany,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,2750.0,40392.0
United States,Employed full-time,Medium,Back-end developer,7,Received on-the-job training in software development,30,115000.0,2000000.0
India,Employed full-time,High,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,8000.0,1500.0
India,Employed full-time,High,Back-end developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",30,2300000.0,36005.0
Canada,Employed full-time,Medium,Desktop or enterprise applications developer,28,Taken an online course in programming or software development (e.g. a MOOC),50,100000.0,80521.0
United States,Employed full-time,Medium,Back-end developer,7,Received on-the-job training in software development,30,80000.0,80000.0
United States,Employed full-time,High,Back-end developer,16,Received on-the-job training in software development,40,136500.0,136500.0
Germany,Employed full-time,High,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),40,140000.0,171343.0
India,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,50000.0,9396.0
India,Employed full-time,High,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,5000.0,936.0
United States,Employed full-time,High,Back-end developer,16,"Taught yourself a new language, framework, or tool without taking a formal course",50,110000.0,110000.0
India,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",21,486000.0,7608.0
United States,Employed full-time,Medium,Front-end developer,22,Taken an online course in programming or software development (e.g. a MOOC),50,105000.0,105000.0
India,Employed full-time,Medium,Back-end developer,5,"Participated in online coding competitions (e.g. HackerRank, CodeChef, TopCoder)",30,744000.0,11647.0
Germany,Employed full-time,Medium,Back-end developer,5,Participated in a full-time developer training program or bootcamp,30,3200.0,46992.0
Germany,Employed part-time,Low,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,1300.0,19092.0
United States,Employed full-time,Medium,Desktop or enterprise applications developer,5,Taken a part-time in-person course in programming or software development,30,55000.0,55000.0
