Country,Employment,FormalEducation,DevType,YearsCodingProf,EducationTypes,Age,Salary,ConvertedSalary
United Kingdom,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,38000.0,52783.0
Canada,Employed full-time,Medium,Full-stack developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,70000.0,56365.0
United States,Employed full-time,High,Front-end developer,1,Contributed to open source software,21,60000.0,60000.0
Germany,Employed full-time,High,System administrator,16,Participated in a full-time developer training program or bootcamp,40,72000.0,88119.0
Canada,Employed full-time,Medium,Back-end developer,5,Received on-the-job training in software development,30,110000.0,88573.0
United States,Employed full-time,Medium,DevOps specialist,5,Received on-the-job training in software development,21,80000.0,80000.0
United Kingdom,Employed full-time,High,Data or business analyst,7,Taken an online course in programming or software development (e.g. a MOOC),50,41000.0,683412.0
United States,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),40,70000.0,70000.0
Germany,Employed full-time,Low,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,3000.0,44064.0
United Kingdom,Employed full-time,High,Front-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,20300.0,28197.0
United States,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),40,92000.0,92000.0
Germany,Employed full-time,High,Full-stack developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,49000.0,59970.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,123000.0,123000.0
India,Employed full-time,High,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),50,100000.0,18780.0
United States,Employed full-time,Low,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,74000.0,74000.0
India,Employed full-time,Medium,Front-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,55000.0,10332.0
United States,Employed full-time,Medium,Full-stack developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",21,90000.0,90000.0
United States,Employed full-time,Medium,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,110000.0,110000.0
Canada,Employed full-time,Medium,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,93000.0,74885.0
India,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,750000.0,11741.0
United States,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),21,80000.0,80000.0
Germany,Employed full-time,Medium,Full-stack developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,66000.0,80776.0
United States,Employed full-time,Medium,Desktop or enterprise applications developer,10,Received on-the-job training in software development,30,88000.0,88000.0
India,Employed full-time,Medium,Back-end developer,5,Participated in a full-time developer training program or bootcamp,30,650000.0,10175.0
Germany,Employed full-time,High,Engineering manager,13,"Taught yourself a new language, framework, or tool without taking a formal course",40,67500.0,82612.0
United States,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,118000.0,118000.0
United States,Employed full-time,High,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),50,99500.0,99500.0
India,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,12000.0,2256.0
United States,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,61200.0,61200.0
United States,Employed part-time,Medium,Back-end developer,10,Received on-the-job training in software development,40,51000.0,51000.0
Germany,Employed full-time,High,Desktop or enterprise applications developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",30,3300.0,48468.0
United States,Employed full-time,Medium,Back-end developer,19,Completed an industry certification program (e.g. MCPD),40,105000.0,105000.0
United States,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,97000.0,97000.0
United States,Employed full-time,Medium,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),40,70534.0,70534.0
United States,Employed full-time,Medium,Back-end developer,16,Taken a part-time in-person course in programming or software development,30,180939.0,180939.0
United States,Employed full-time,Low,Back-end developer,22,"Taught yourself a new language, framework, or tool without taking a formal course",40,150000.0,150000.0
Germany,Employed full-time,Medium,Front-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,2600.0,38184.0
India,Employed full-time,Medium,Full-stack developer,1,Received on-the-job training in software development,21,37900.0,7116.0
Germany,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,56000.0,822444.0
United States,Employed full-time,Medium,Back-end developer,19,Completed an industry certification program (e.g. MCPD),40,121000.0,121000.0
Germany,Employed full-time,Medium,Mobile developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,3600.0,52872.0
India,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,8000.0,1500.0
United States,Employed full-time,Medium,Engineering manager,10,Taken an online course in programming or software development (e.g. a MOOC),40,140000.0,140000.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,39520.0,54895.0
United States,Employed full-time,Medium,Back-end developer,10,Completed an industry certification program (e.g. MCPD),30,50000.0,50000.0
United Kingdom,Employed full-time,Low,Game or graphics developer,30,Received on-the-job training in software development,50,130000.0,180575.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,65000.0,65000.0
United States,Employed full-time,Medium,Full-stack developer,5,Participated in a full-time developer training program or bootcamp,30,55000.0,55000.0
United States,Employed full-time,High,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,93500.0,2000000.0
United States,Employed full-time,Medium,Desktop or enterprise applications developer,5,Received on-the-job training in software development,30,145000.0,145000.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,115000.0,115000.0
Canada,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,100000.0,80521.0
United States,Employed full-time,Medium,Front-end developer,5,Received on-the-job training in software development,30,90000.0,90000.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,38500.0,641736.0
United Kingdom,Employed full-time,Medium,Full-stack developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,30000.0,41671.0
United States,Employed full-time,Medium,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),40,162000.0,162000.0
Canada,Employed full-time,Medium,Front-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,4500.0,43476.0
Canada,Employed full-time,Medium,Back-end developer,19,"Taught yourself a new language, framework, or tool without taking a formal course",40,69000.0,55560.0
United States,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,110000.0,110000.0
United Kingdom,Employed full-time,High,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,25000.0,34726.0
United States,Employed full-time,Medium,Data scientist or machine learning specialist,16,"Taught yourself a new language, framework, or tool without taking a formal course",40,170000.0,170000.0
United States,Employed full-time,Medium,Database administrator,1,Taken an online course in programming or software development (e.g. a MOOC),21,35000.0,35000.0
United Kingdom,Employed full-time,High,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,26800.0,37226.0
United States,Employed full-time,Medium,Back-end developer,1,Received on-the-job training in software development,21,105000.0,105000.0
India,Employed full-time,Medium,Back-end developer,7,Received on-the-job training in software development,30,100000.0,18780.0
United Kingdom,Employed full-time,Medium,Full-stack developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,24000.0,400044.0
United States,Employed full-time,Medium,Back-end developer,19,"Taught yourself a new language, framework, or tool without taking a formal course",50,123000.0,123000.0
United States,Employed full-time,High,Engineering manager,22,Taken an online course in programming or software development (e.g. a MOOC),40,200000.0,200000.0
Germany,Employed full-time,High,Data scientist or machine learning specialist,1,Taken an online course in programming or software development (e.g. a MOOC),30,40000.0,48955.0
United States,Employed full-time,Medium,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",40,115000.0,115000.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,130000.0,2000000.0
United States,Employed full-time,High,Front-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,138000.0,138000.0
United States,Employed full-time,Medium,Data or business analyst,5,Taken an online course in programming or software development (e.g. a MOOC),40,1170.0,58500.0
United Kingdom,Employed full-time,Medium,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,45000.0,62507.0
United States,Employed full-time,Medium,Full-stack developer,22,Taken an online course in programming or software development (e.g. a MOOC),40,87100.0,87100.0
United States,Employed full-time,High,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),50,116000.0,116000.0
Germany,Employed full-time,Low,Embedded applications or devices developer,10,Received on-the-job training in software development,40,86000.0,105253.0
Canada,Employed full-time,Medium,Back-end developer,13,Completed an industry certification program (e.g. MCPD),30,75000.0,60391.0
United States,Employed full-time,Medium,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),50,154000.0,154000.0
India,Employed full-time,High,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,15000.0,2820.0
United States,Employed full-time,Medium,Back-end developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",40,100000.0,100000.0
India,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,439458.0,6879.0
United States,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,50000.0,50000.0
India,Employed full-time,High,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,50000.0,9396.0
Germany,Employed full-time,Low,DevOps specialist,7,Taken an online course in programming or software development (e.g. a MOOC),21,2000.0,29376.0
United States,Employed full-time,Low,Designer,1,Taken an online course in programming or software development (e.g. a MOOC),21,440.0,22000.0
Canada,Employed full-time,Medium,QA or test developer,1,Received on-the-job training in software development,21,810.0,32600.0
United Kingdom,Employed full-time,High,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,37000.0,51394.0
United Kingdom,Employed full-time,Medium,Back-end developer,1,Received on-the-job training in software development,21,25000.0,34726.0
Canada,Employed full-time,Medium,Full-stack developer,10,Taken an online course in programming or software development (e.g. a MOOC),30,130000.0,104678.0
Germany,Employed full-time,Low,Back-end developer,22,Completed an industry certification program (e.g. MCPD),40,5500.0,80772.0
United Kingdom,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,38000.0,52783.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,57500.0,690000.0
Canada,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,36000.0,1000000.0
India,Employed full-time,High,Back-end developer,7,Received on-the-job training in software development,30,1600000.0,25047.0
United States,Employed full-time,Medium,Back-end developer,28,Taken an online course in programming or software development (e.g. a MOOC),50,200000.0,2000000.0
United States,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,110000.0,110000.0
India,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,6000000.0,93926.0
India,Employed full-time,Medium,Back-end developer,16,Taken an online course in programming or software development (e.g. a MOOC),40,2700000.0,507204.0
Germany,Employed full-time,High,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,50000.0,734328.0
United States,Employed full-time,Medium,Front-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,132000.0,132000.0
United States,Employed full-time,Medium,Data or business analyst,16,Received on-the-job training in software development,40,95000.0,95000.0
United States,Employed full-time,High,Desktop or enterprise applications developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,140000.0,140000.0
United Kingdom,Employed full-time,High,Full-stack developer,10,Completed an industry certification program (e.g. MCPD),30,70000.0,97233.0
Germany,Employed full-time,Medium,Back-end developer,13,"Taught yourself a new language, framework, or tool without taking a formal course",30,3700.0,54336.0
United Kingdom,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,32000.0,44449.0
United Kingdom,Employed full-time,Medium,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),50,55000.0,916764.0
United States,Employed full-time,Medium,Designer,19,"Taught yourself a new language, framework, or tool without taking a formal course",50,180000.0,180000.0
India,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,875000.0,13698.0
Germany,Employed full-time,Low,Front-end developer,1,Participated in a full-time developer training program or bootcamp,21,3200.0,46992.0
United States,Employed full-time,Medium,Front-end developer,5,Taken a part-time in-person course in programming or software development,30,80000.0,80000.0
Germany,Employed full-time,Medium,Front-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",21,3750.0,55080.0
United States,Employed full-time,Medium,Full-stack developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,150000.0,150000.0
Germany,Employed full-time,High,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,60000.0,73433.0
United States,Employed full-time,Medium,Front-end developer,1,Participated in a full-time developer training program or bootcamp,30,54000.0,54000.0
United States,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,80000.0,80000.0
Germany,Employed full-time,Low,Back-end developer,19,"Taught yourself a new language, framework, or tool without taking a formal course",40,70000.0,85671.0
United States,Employed full-time,High,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),40,115000.0,115000.0
United Kingdom,Employed full-time,High,Back-end developer,16,Received on-the-job training in software development,40,80000.0,111123.0
Germany,Employed full-time,High,Back-end developer,10,Received on-the-job training in software development,40,56000.0,68537.0
United Kingdom,Employed full-time,Medium,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),40,83000.0,115290.0
United States,Employed full-time,Medium,Front-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,100000.0,100000.0
United States,Employed full-time,Medium,Full-stack developer,5,Received on-the-job training in software development,30,70000.0,70000.0
United States,Employed part-time,Low,Embedded applications or devices developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",21,147000.0,147000.0
Germany,Employed full-time,High,Front-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,60000.0,73433.0
United Kingdom,Employed full-time,Medium,Front-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,28000.0,38893.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,65000.0,65000.0
United States,Employed full-time,High,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,95000.0,95000.0
Canada,Employed full-time,Medium,Back-end developer,1,Received on-the-job training in software development,30,56500.0,1000000.0
India,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,1000000.0,15654.0
India,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,50000.0,9396.0
Germany,Employed full-time,Medium,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),40,3600.0,52872.0
United States,Employed full-time,High,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),40,80000.0,960000.0
United States,Employed full-time,High,Back-end developer,19,"Taught yourself a new language, framework, or tool without taking a formal course",40,130000.0,130000.0
United States,Employed full-time,Medium,Back-end developer,7,Received on-the-job training in software development,40,81000.0,81000.0
United States,Employed full-time,Medium,Back-end developer,10,Completed an industry certification program (e.g. MCPD),30,97500.0,97500.0
United States,Employed full-time,Medium,DevOps specialist,10,Taken a part-time in-person course in programming or software development,30,102000.0,102000.0
United Kingdom,Employed full-time,Medium,Front-end developer,7,Participated in a full-time developer training program or bootcamp,40,52000.0,72230.0
United States,Employed full-time,Medium,Back-end developer,16,Taken a part-time in-person course in programming or software development,40,110000.0,110000.0
United States,Employed full-time,Medium,Full-stack developer,30,Taken an online course in programming or software development (e.g. a MOOC),50,102000.0,102000.0
Germany,Employed full-time,Low,Student,0,Received on-the-job training in software development,21,750.0,11016.0
United States,Employed full-time,High,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,152000.0,152000.0
United Kingdom,Employed full-time,Medium,Back-end developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",40,55000.0,76397.0
Canada,Employed full-time,Low,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,105000.0,84547.0
Canada,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,56000.0,45092.0
Germany,Employed full-time,High,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,3600.0,52872.0
India,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,2350000.0,36788.0
United States,Employed full-time,High,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,110000.0,110000.0
United States,Employed full-time,Medium,Database administrator,5,Received on-the-job training in software development,30,45000.0,45000.0
United States,Employed full-time,Medium,Front-end developer,1,Received on-the-job training in software development,30,65000.0,65000.0
United States,Employed full-time,Low,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,48000.0,48000.0
United States,Employed full-time,Medium,Front-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,170000.0,170000.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),40,77000.0,77000.0
India,Employed full-time,High,Full-stack developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,25000.0,4692.0
India,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,620000.0,116472.0
United States,Employed full-time,Medium,Back-end developer,10,Taken a part-time in-person course in programming or software development,30,92000.0,92000.0
United States,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",50,130000.0,130000.0
India,Employed part-time,High,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,30000.0,5640.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,57000.0,57000.0
United States,Employed full-time,Medium,QA or test developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,150000.0,150000.0
United States,Employed full-time,Medium,Desktop or enterprise applications developer,10,Received on-the-job training in software development,30,126000.0,126000.0
Canada,Employed full-time,Medium,Embedded applications or devices developer,1,Received on-the-job training in software development,21,1017.0,40950.0
United Kingdom,Employed full-time,High,Front-end developer,16,Taken an online course in programming or software development (e.g. a MOOC),40,72500.0,100705.0
United States,Employed full-time,Medium,Engineering manager,19,Completed an industry certification program (e.g. MCPD),40,137000.0,137000.0
India,Employed full-time,Medium,Back-end developer,1,Participated in a full-time developer training program or bootcamp,30,720000.0,11271.0
United Kingdom,Employed full-time,Medium,Data or business analyst,7,Completed an industry certification program (e.g. MCPD),30,39600.0,55006.0
United States,Employed full-time,Medium,Front-end developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",30,133000.0,133000.0
United States,Employed full-time,Medium,Back-end developer,19,Taken a part-time in-person course in programming or software development,40,147710.0,147710.0
Germany,Employed full-time,High,Back-end developer,13,Taken an online course in programming or software development (e.g. a MOOC),40,40000.0,587460.0
Canada,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,82000.0,66027.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,40000.0,40000.0
United States,Employed full-time,Medium,Back-end developer,1,"Taught yourself a new language, framework, or tool without taking a formal course",30,67000.0,67000.0
United States,Employed full-time,Medium,Back-end developer,25,Taken an online course in programming or software development (e.g. a MOOC),40,155000.0,155000.0
India,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,25000.0,4692.0
United Kingdom,Employed full-time,Medium,Back-end developer,16,"Taught yourself a new language, framework, or tool without taking a formal course",40,42000.0,58340.0
United States,Employed full-time,Medium,Back-end developer,16,Taken a part-time in-person course in programming or software development,40,175000.0,175000.0
United Kingdom,Employed full-time,Medium,Back-end developer,16,Taken an online course in programming or software development (e.g. a MOOC),50,51000.0,70841.0
United States,Employed full-time,Medium,Front-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",40,2280.0,114000.0
United States,Employed part-time,Medium,Back-end developer,7,Received on-the-job training in software development,21,1000.0,12000.0
United States,Employed full-time,Medium,Back-end developer,1,Received on-the-job training in software development,30,70000.0,70000.0
Canada,Employed full-time,Medium,Full-stack developer,10,Received on-the-job training in software development,30,70000.0,1000000.0
United States,Employed full-time,Medium,Back-end developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,115000.0,115000.0
United States,Employed full-time,Medium,Data or business analyst,5,Received on-the-job training in software development,30,150000.0,150000.0
Canada,Employed full-time,Medium,Data or business analyst,5,Taken an online course in programming or software development (e.g. a MOOC),21,52000.0,41871.0
United States,Employed full-time,Medium,Back-end developer,22,"Taught yourself a new language, framework, or tool without taking a formal course",40,150000.0,150000.0
United States,Employed full-time,Medium,Back-end developer,19,"Taught yourself a new language, framework, or tool without taking a formal course",40,81000.0,81000.0
United Kingdom,Employed full-time,Medium,Full-stack developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,38000.0,52783.0
India,Employed full-time,High,Mobile developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,42000.0,7884.0
United States,Employed full-time,High,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),50,130000.0,130000.0
United States,Employed full-time,Medium,Back-end developer,7,Completed an industry certification program (e.g. MCPD),30,63000.0,63000.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,350000.0,486164.0
United States,Employed full-time,Medium,Back-end developer,16,Received on-the-job training in software development,50,107000.0,107000.0
United Kingdom,Employed full-time,Medium,Back-end developer,1,Received on-the-job training in software development,21,17000.0,23614.0
Canada,Employed part-time,Medium,Back-end developer,1,Received on-the-job training in software development,30,150.0,6050.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,48000.0,48000.0
India,Employed full-time,Medium,Full-stack developer,7,Taken an online course in programming or software development (e.g. a MOOC),30,1138500.0,17823.0
United Kingdom,Employed full-time,Medium,Front-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,50000.0,69452.0
Germany,Employed full-time,High,Back-end developer,19,Taken an online course in programming or software development (e.g. a MOOC),40,63000.0,77104.0
United States,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,66000.0,66000.0
United States,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),30,85000.0,85000.0
United Kingdom,Employed full-time,Medium,Back-end developer,22,Taken an online course in programming or software development (e.g. a MOOC),40,38000.0,633396.0
Germany,Employed full-time,Medium,Back-end developer,5,Received on-the-job training in software development,21,52000.0,63642.0
India,Employed full-time,Medium,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,4000000.0,62618.0
Germany,Employed full-time,Low,Back-end developer,1,Received on-the-job training in software development,21,750.0,11016.0
United States,Employed full-time,Medium,Full-stack developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",30,220000.0,220000.0
India,Employed full-time,Medium,Front-end developer,7,Received on-the-job training in software development,30,1100000.0,206640.0
United States,Employed full-time,High,Data scientist or machine learning specialist,5,Taken an online course in programming or software development (e.g. a MOOC),30,1400.0,70000.0
Canada,Employed full-time,Medium,Back-end developer,7,Received on-the-job training in software development,30,88000.0,70859.0
United States,Employed full-time,Medium,Back-end developer,5,Taken a part-time in-person course in programming or software development,30,42000.0,42000.0
India,Employed full-time,Medium,Designer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,750000.0,11741.0
United States,Employed full-time,Low,Back-end developer,10,Taken an online course in programming or software development (e.g. a MOOC),50,90500.0,90500.0
United States,Employed full-time,Medium,Mobile developer,10,Taken an online course in programming or software development (e.g. a MOOC),40,170000.0,170000.0
Germany,Employed full-time,High,Back-end developer,5,Contributed to open source software,30,72000.0,88119.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,Taken an online course in programming or software development (e.g. a MOOC),21,15000.0,20836.0
India,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,240000.0,3757.0
United States,Employed full-time,High,Front-end developer,13,"Taught yourself a new language, framework, or tool without taking a formal course",40,130000.0,130000.0
United States,Employed full-time,Medium,Back-end developer,28,"Taught yourself a new language, framework, or tool without taking a formal course",50,130000.0,130000.0
United States,Employed full-time,Medium,Front-end developer,1,Taken a part-time in-person course in programming or software development,30,7000.0,84000.0
United States,Employed full-time,Medium,Full-stack developer,1,Participated in a full-time developer training program or bootcamp,21,76000.0,76000.0
United States,Employed full-time,High,Desktop or enterprise applications developer,13,Received on-the-job training in software development,40,150000.0,150000.0
India,Employed full-time,Medium,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),21,850000.0,13306.0
United States,Employed full-time,Medium,Embedded applications or devices developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",40,65000.0,65000.0
United States,Employed full-time,High,Data or business analyst,10,"Taught yourself a new language, framework, or tool without taking a formal course",30,60000.0,60000.0
Germany,Employed full-time,High,Full-stack developer,7,Taken an online course in programming or software development (e.g. a MOOC),40,60000.0,73433.0
Canada,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,60000.0,48313.0
Canada,Employed full-time,Medium,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,94000.0,75690.0
United Kingdom,Employed full-time,Medium,Back-end developer,16,Taken an online course in programming or software development (e.g. a MOOC),40,35653.0,49523.0
United States,Employed full-time,High,Desktop or enterprise applications developer,30,Taken an online course in programming or software development (e.g. a MOOC),60,187000.0,187000.0
India,Employed full-time,High,Mobile developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,35960.0,6756.0
United States,Employed full-time,High,Embedded applications or devices developer,1,Received on-the-job training in software development,30,101100.0,101100.0
United States,Employed full-time,High,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,110000.0,110000.0
United States,Employed full-time,Medium,DevOps specialist,19,Participated in a full-time developer training program or bootcamp,40,139000.0,139000.0
United Kingdom,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",30,32000.0,44449.0
United States,Employed full-time,Medium,Full-stack developer,22,Taken an online course in programming or software development (e.g. a MOOC),30,170000.0,170000.0
United States,Employed full-time,Medium,Mobile developer,5,Participated in a full-time developer training program or bootcamp,30,110000.0,110000.0
United Kingdom,Employed full-time,Low,Full-stack developer,5,Completed an industry certification program (e.g. MCPD),21,31000.0,43060.0
United States,Employed full-time,High,Back-end developer,16,"Taught yourself a new language, framework, or tool without taking a formal course",40,145000.0,145000.0
United Kingdom,Employed full-time,Medium,Designer,1,"Taught yourself a new language, framework, or tool without taking a formal course",21,26000.0,36115.0
Germany,Employed full-time,High,Back-end developer,1,Received on-the-job training in software development,30,55000.0,67313.0
United States,Employed full-time,Medium,Back-end developer,5,"Taught yourself a new language, framework, or tool without taking a formal course",21,800.0,40000.0
United States,Employed full-time,Medium,Desktop or enterprise applications developer,25,Taken an online course in programming or software development (e.g. a MOOC),50,145000.0,145000.0
India,Employed full-time,High,Back-end developer,1,Taken an online course in programming or software development (e.g. a MOOC),30,93000.0,1284.33
United States,Employed full-time,Medium,Desktop or enterprise applications developer,1,Received on-the-job training in software development,21,82500.0,82500.0
United States,Employed full-time,High,Back-end developer,7,"Taught yourself a new language, framework, or tool without taking a formal course",30,91500.0,91500.0
United States,Employed full-time,Medium,Back-end developer,10,"Taught yourself a new language, framework, or tool without taking a formal course",30,100000.0,100000.0
